data_source_uuid,org_id,org_set_id,dataset_name,dataset_version,geom_type,boundary_type,has_attributes,download_method,download_subtype,download_data_standard,download_filename,download_url,download_auth,documentation_url,srid,geom_join_column
7700,Census,TIGER/Line,us-tract-2023,2023,polygon,tract,0,file,zip,shp,cb_2023_us_tract_500k.shp,https://www2.census.gov/geo/tiger/GENZ2023/shp/cb_2023_us_tract_500k.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html,4269,geoid
9910,CDC/ATSDR,SVI,us-tract-2010,2010,,tract,1,file,zip,gdb,SVI2010_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2010/db/states/SVI_2010_US.zip,,,,geoid
9914,CDC/ATSDR,SVI,us-tract-2014,2014,,tract,1,file,zip,gdb,SVI2014_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2014/db/states/SVI_2014_US.zip,,,,geoid
9916,CDC/ATSDR,SVI,us-tract-2016,2016,,tract,1,file,zip,gdb,SVI2016_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2016/db/states/SVI_2016_US.zip,,,,geoid
9918,CDC/ATSDR,SVI,us-tract-2018,2018,,tract,1,file,zip,gdb,SVI2018_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2018/db/states/SVI_2018_US.zip,,https://www.atsdr.cdc.gov/placeandhealth/svi/index.html,,geoid
9920,CDC/ATSDR,SVI,us-tract-2020,2020,,tract,1,file,zip,gdb,SVI2020_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2020/db/states/SVI_2020_US.zip,,,,geoid
9922,CDC/ATSDR,SVI,us-tract-2022,2022,,tract,1,file,zip,gdb,SVI2022_US_tract.gdb,https://svi.cdc.gov/Documents/Data/2022/db/states/SVI_2022_US.zip,,,,geoid
8822,CDC/ATSDR,EJI,us-tract-2022,2022,,tract,1,file,zip,gdb,EJI_2022_United_States.gdb,https://eji.cdc.gov/Documents/Data/2022/2022_DBS/EJI_2022_United_States_GDB.zip,,https://www.atsdr.cdc.gov/place-health/php/eji/index.html,,geoid
8824,CDC/ATSDR,EJI,us-tract-2024,2024,,tract,1,file,zip,gdb,EJI_2024_United_States.gdb,https://eji.cdc.gov/Documents/Data/2024/2024_DBS/EJI_2024_United_States_GDB.zip,,https://www.atsdr.cdc.gov/place-health/php/eji/index.html,,geoid
10515,UW-Madison,ADI,us-block-group-2015,2015,,tract,1,file,csv,csv,adi_2015.csv,https://zenodo.org/api/records/19475818/files/adi_2015.csv/content,,https://doi.org/10.5281/zenodo.19475818,,tractfips
10520,UW-Madison,ADI,us-block-group-2020,2020,,tract,1,file,csv,csv,adi_2020.csv,https://zenodo.org/api/records/19475818/files/adi_2020.csv/content,,https://doi.org/10.5281/zenodo.19475818,,tractfips
10523,UW-Madison,ADI,us-block-group-2023,2023,,tract,1,file,csv,csv,adi_2023.csv,https://zenodo.org/api/records/19475818/files/adi_2023.csv/content,,https://doi.org/10.5281/zenodo.19475818,,tractfips
11209,AHRQ,SDOH,us-tract-2009,2009,,tract,1,file,csv,csv,ahrq_2009.csv,https://zenodo.org/api/records/19475914/files/ahrq_2009.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11210,AHRQ,SDOH,us-tract-2010,2010,,tract,1,file,csv,csv,ahrq_2010.csv,https://zenodo.org/api/records/19475914/files/ahrq_2010.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11211,AHRQ,SDOH,us-tract-2011,2011,,tract,1,file,csv,csv,ahrq_2011.csv,https://zenodo.org/api/records/19475914/files/ahrq_2011.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11212,AHRQ,SDOH,us-tract-2012,2012,,tract,1,file,csv,csv,ahrq_2012.csv,https://zenodo.org/api/records/19475914/files/ahrq_2012.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11213,AHRQ,SDOH,us-tract-2013,2013,,tract,1,file,csv,csv,ahrq_2013.csv,https://zenodo.org/api/records/19475914/files/ahrq_2013.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11214,AHRQ,SDOH,us-tract-2014,2014,,tract,1,file,csv,csv,ahrq_2014.csv,https://zenodo.org/api/records/19475914/files/ahrq_2014.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11215,AHRQ,SDOH,us-tract-2015,2015,,tract,1,file,csv,csv,ahrq_2015.csv,https://zenodo.org/api/records/19475914/files/ahrq_2015.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11216,AHRQ,SDOH,us-tract-2016,2016,,tract,1,file,csv,csv,ahrq_2016.csv,https://zenodo.org/api/records/19475914/files/ahrq_2016.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11217,AHRQ,SDOH,us-tract-2017,2017,,tract,1,file,csv,csv,ahrq_2017.csv,https://zenodo.org/api/records/19475914/files/ahrq_2017.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11218,AHRQ,SDOH,us-tract-2018,2018,,tract,1,file,csv,csv,ahrq_2018.csv,https://zenodo.org/api/records/19475914/files/ahrq_2018.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11219,AHRQ,SDOH,us-tract-2019,2019,,tract,1,file,csv,csv,ahrq_2019.csv,https://zenodo.org/api/records/19475914/files/ahrq_2019.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11220,AHRQ,SDOH,us-tract-2020,2020,,tract,1,file,csv,csv,ahrq_2020.csv,https://zenodo.org/api/records/19475914/files/ahrq_2020.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
11221,AHRQ,SDOH,us-tract-2021,2021,,tract,1,file,csv,csv,ahrq_2021.csv,https://zenodo.org/api/records/19475914/files/ahrq_2021.csv/content,,https://doi.org/10.5281/zenodo.19475914,,tractfips
