variable_source_id,geom_dependency_uuid,variable_name,variable_desc,data_source_uuid,geom_join_column,attr_concept_id,attr_start_date,attr_end_date,attr_source_value,value_as_number_col,value_source_value,unit_concept_id,value_as_concept_id,dataset_type
1,7700,SVI_TOTPOP,"SVI 2010: Total population, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,totpop,totpop,totpop,,,SVI
2,7700,SVI_E_TOTPOP,"SVI 2010: Population estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_totpop,e_totpop,e_totpop,,,SVI
3,7700,SVI_M_TOTPOP,"SVI 2010: Population estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_totpop,m_totpop,m_totpop,,,SVI
4,7700,SVI_HU,"SVI 2010: Housing units, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,hu,hu,hu,,,SVI
5,7700,SVI_E_HU,"SVI 2010: Housing units estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_hu,e_hu,e_hu,,,SVI
6,7700,SVI_M_HU,"SVI 2010: Housing units estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_hu,m_hu,m_hu,,,SVI
7,7700,SVI_HH,"SVI 2010: Number of households, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,hh,hh,hh,,,SVI
8,7700,SVI_E_POV,"SVI 2010: Persons below poverty estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_pov,e_pov,e_pov,,,SVI
9,7700,SVI_M_POV,"SVI 2010: Persons below poverty estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_pov,m_pov,m_pov,,,SVI
10,7700,SVI_E_UNEMP,"SVI 2010: Civilian (age 16+) unemployed estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_unemp,e_unemp,e_unemp,,,SVI
11,7700,SVI_M_UNEMP,"SVI 2010: Civilian (age 16+) unemployed estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_unemp,m_unemp,m_unemp,,,SVI
12,7700,SVI_E_PCI,"SVI 2010: Per capita income estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_pci,e_pci,e_pci,,,SVI
13,7700,SVI_M_PCI,"SVI 2010: Per capita income estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_pci,m_pci,m_pci,,,SVI
14,7700,SVI_E_NOHSDIP,"SVI 2010: Persons (age 25+) with no high school diploma estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_nohsdip,e_nohsdip,e_nohsdip,,,SVI
15,7700,SVI_M_NOHSDIP,"SVI 2010: Persons (age 25+) with no high school diploma estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_nohsdip,m_nohsdip,m_nohsdip,,,SVI
16,7700,SVI_AGE65,"SVI 2010: Persons aged 65 and older, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,age65,age65,age65,,,SVI
17,7700,SVI_AGE17,"SVI 2010: Persons aged 17 and younger, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,age17,age17,age17,,,SVI
18,7700,SVI_SNGPRNT,"SVI 2010: Single parent household with children under 18, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,sngprnt,sngprnt,sngprnt,,,SVI
19,7700,SVI_MINORITY,"SVI 2010: Minority (all persons except white, non-Hispanic), 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,minority,minority,minority,,,SVI
20,7700,SVI_E_LIMENG,"SVI 2010: Persons (age 5+) who speak English ""less than well"" estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_limeng,e_limeng,e_limeng,,,SVI
21,7700,SVI_M_LIMENG,"SVI 2010: Persons (age 5+) who speak English ""less than well"" estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_limeng,m_limeng,m_limeng,,,SVI
22,7700,SVI_E_MUNIT,"SVI 2010: Housing in structures with 10 or more units estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_munit,e_munit,e_munit,,,SVI
23,7700,SVI_M_MUNIT,"SVI 2010: Housing in structures with 10 or more units estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_munit,m_munit,m_munit,,,SVI
24,7700,SVI_E_MOBILE,"SVI 2010: Mobile homes estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_mobile,e_mobile,e_mobile,,,SVI
25,7700,SVI_M_MOBILE,"SVI 2010: Mobile homes estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_mobile,m_mobile,m_mobile,,,SVI
26,7700,SVI_E_CROWD,"SVI 2010: At household level, more people than rooms estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_crowd,e_crowd,e_crowd,,,SVI
27,7700,SVI_M_CROWD,"SVI 2010: At household level, more people than rooms estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_crowd,m_crowd,m_crowd,,,SVI
28,7700,SVI_E_NOVEH,"SVI 2010: Households with no vehicle available estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_noveh,e_noveh,e_noveh,,,SVI
29,7700,SVI_M_NOVEH,"SVI 2010: Households with no vehicle available estimate MOE, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,m_noveh,m_noveh,m_noveh,,,SVI
30,7700,SVI_GROUPQ,"SVI 2010: Persons in institutionalized and non-institutionalized group quarters, 2010 SF1",9910,FIPS,,2010-01-01,2010-12-31,groupq,groupq,groupq,,,SVI
31,7700,SVI_E_P_POV,SVI 2010: Proportion of persons below poverty estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_pov,e_p_pov,e_p_pov,,,SVI
32,7700,SVI_M_P_POV,SVI 2010: Proportion of persons below poverty estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_pov,m_p_pov,m_p_pov,,,SVI
33,7700,SVI_E_P_UNEMP,SVI 2010: Proportion of civilian (age 16+) unemployed estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_unemp,e_p_unemp,e_p_unemp,,,SVI
34,7700,SVI_M_P_UNEMP,SVI 2010: Proportion of civilian (age 16+) unemployed estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_unemp,m_p_unemp,m_p_unemp,,,SVI
35,7700,SVI_E_P_PCI,"SVI 2010: Per capita income estimate, 2006-2010 ACS",9910,FIPS,,2010-01-01,2010-12-31,e_p_pci,e_p_pci,e_p_pci,,,SVI
36,7700,SVI_E_P_NOHSDIP,SVI 2010: Proportion of persons with no high school diploma (age 25+) estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_nohsdip,e_p_nohsdip,e_p_nohsdip,,,SVI
37,7700,SVI_M_P_NOHSDIP,SVI 2010: Proportion of persons with no high school diploma (25+) estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_nohsdip,m_p_nohsdip,m_p_nohsdip,,,SVI
38,7700,SVI_P_AGE65,SVI 2010: Proportion of persons aged 65 and older,9910,FIPS,,2010-01-01,2010-12-31,p_age65,p_age65,p_age65,,,SVI
39,7700,SVI_P_AGE17,SVI 2010: Proportion of persons aged 17 and younger,9910,FIPS,,2010-01-01,2010-12-31,p_age17,p_age17,p_age17,,,SVI
40,7700,SVI_P_SNGPRNT,SVI 2010: Proportion of single parent households with children under 18,9910,FIPS,,2010-01-01,2010-12-31,p_sngprnt,p_sngprnt,p_sngprnt,,,SVI
41,7700,SVI_P_MINORITY,"SVI 2010: Proportion minority (all persons except white, non-Hispanic)",9910,FIPS,,2010-01-01,2010-12-31,p_minority,p_minority,p_minority,,,SVI
42,7700,SVI_E_P_LIMENG,"SVI 2010: Proportion of persons (age 5+) who speak English ""less than well"" estimate",9910,FIPS,,2010-01-01,2010-12-31,e_p_limeng,e_p_limeng,e_p_limeng,,,SVI
43,7700,SVI_M_P_LIMENG,"SVI 2010: Proportion of persons (age 5+) who speak English ""less than well"" estimate MOE",9910,FIPS,,2010-01-01,2010-12-31,m_p_limeng,m_p_limeng,m_p_limeng,,,SVI
44,7700,SVI_E_P_MUNIT,SVI 2010: Proportion of housing in structures with 10 or more units estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_munit,e_p_munit,e_p_munit,,,SVI
45,7700,SVI_M_P_MUNIT,SVI 2010: Proportion of housing in structures with 10 or more units estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_munit,m_p_munit,m_p_munit,,,SVI
46,7700,SVI_E_P_MOBILE,SVI 2010: Proportion of mobile homes estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_mobile,e_p_mobile,e_p_mobile,,,SVI
47,7700,SVI_M_P_MOBILE,SVI 2010: Proportion of mobile homes estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_mobile,m_p_mobile,m_p_mobile,,,SVI
48,7700,SVI_E_P_CROWD,SVI 2010: Proportion of households with more people than rooms estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_crowd,e_p_crowd,e_p_crowd,,,SVI
49,7700,SVI_M_P_CROWD,SVI 2010: Proportion of households with more people than rooms estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_crowd,m_p_crowd,m_p_crowd,,,SVI
50,7700,SVI_E_P_NOVEH,SVI 2010: Proportion of households with no vehicle available estimate,9910,FIPS,,2010-01-01,2010-12-31,e_p_noveh,e_p_noveh,e_p_noveh,,,SVI
51,7700,SVI_M_P_NOVEH,SVI 2010: Proportion of households with no vehicle available estimate MOE,9910,FIPS,,2010-01-01,2010-12-31,m_p_noveh,m_p_noveh,m_p_noveh,,,SVI
52,7700,SVI_P_GROUPQ,SVI 2010: Proportion of persons in institutionalized and non-institutionalized group quarters,9910,FIPS,,2010-01-01,2010-12-31,p_groupq,p_groupq,p_groupq,,,SVI
53,7700,SVI_E_PL_POV,"SVI 2010: Percentile of the proportion of persons below poverty estimate, no consideration of MOE",9910,FIPS,,2010-01-01,2010-12-31,e_pl_pov,e_pl_pov,e_pl_pov,,,SVI
54,7700,SVI_E_PL_UNEMP,"SVI 2010: Percentile of the proportion of civilian (age 16+) unemployed estimate, no consideration of MOE",9910,FIPS,,2010-01-01,2010-12-31,e_pl_unemp,e_pl_unemp,e_pl_unemp,,,SVI
55,7700,SVI_E_PL_PCI,"SVI 2010: Percentile of per capita income estimate, no consideration of MOE",9910,FIPS,,2010-01-01,2010-12-31,e_pl_pci,e_pl_pci,e_pl_pci,,,SVI
56,7700,SVI_E_PL_NOHSDIP,"SVI 2010: Percentile of the proportion of persons with no high school diploma (age 25+) estimate, no consideration of MOE",9910,FIPS,,2010-01-01,2010-12-31,e_pl_nohsdip,e_pl_nohsdip,e_pl_nohsdip,,,SVI
57,7700,SVI_PL_AGE65,SVI 2010: Percentile of the proportion of persons aged 65 and older,9910,FIPS,,2010-01-01,2010-12-31,pl_age65,pl_age65,pl_age65,,,SVI
58,7700,SVI_PL_AGE17,SVI 2010: Percentile of the proportion of persons aged 17 and younger,9910,FIPS,,2010-01-01,2010-12-31,pl_age17,pl_age17,pl_age17,,,SVI
59,7700,SVI_PL_SNGPRNT,SVI 2010: Percentile of the proportion of single parent households with children under 18,9910,FIPS,,2010-01-01,2010-12-31,pl_sngprnt,pl_sngprnt,pl_sngprnt,,,SVI
60,7700,SVI_E_TOTPOP,"SVI 2014: Population estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_totpop,e_totpop,e_totpop,,,SVI
61,7700,SVI_M_TOTPOP,"SVI 2014: Population estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_totpop,m_totpop,m_totpop,,,SVI
62,7700,SVI_E_HU,"SVI 2014: Housing units estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_hu,e_hu,e_hu,,,SVI
63,7700,SVI_M_HU,"SVI 2014: Housing units estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_hu,m_hu,m_hu,,,SVI
64,7700,SVI_E_HH,"SVI 2014: Households estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_hh,e_hh,e_hh,,,SVI
65,7700,SVI_M_HH,"SVI 2014: Households estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_hh,m_hh,m_hh,,,SVI
66,7700,SVI_E_POV,"SVI 2014: Persons below poverty estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_pov,e_pov,e_pov,,,SVI
67,7700,SVI_M_POV,"SVI 2014: Persons below poverty estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_pov,m_pov,m_pov,,,SVI
68,7700,SVI_E_UNEMP,"SVI 2014: Civilian (age 16+) unemployed estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_unemp,e_unemp,e_unemp,,,SVI
69,7700,SVI_M_UNEMP,"SVI 2014: Civilian (age 16+) unemployed estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_unemp,m_unemp,m_unemp,,,SVI
70,7700,SVI_E_PCI,"SVI 2014: Per capita income estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_pci,e_pci,e_pci,,,SVI
71,7700,SVI_M_PCI,"SVI 2014: Per capita income estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_pci,m_pci,m_pci,,,SVI
72,7700,SVI_E_NOHSDP,"SVI 2014: Persons (age 25+) with no high school diploma estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_nohsdp,e_nohsdp,e_nohsdp,,,SVI
73,7700,SVI_M_NOHSDP,"SVI 2014: Persons (age 25+) with no high school diploma estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_nohsdp,m_nohsdp,m_nohsdp,,,SVI
74,7700,SVI_E_AGE65,"SVI 2014: Persons aged 65 and older estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_age65,e_age65,e_age65,,,SVI
75,7700,SVI_M_AGE65,"SVI 2014: Persons aged 65 and older estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_age65,m_age65,m_age65,,,SVI
76,7700,SVI_E_AGE17,"SVI 2014: Persons aged 17 and younger estimate, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,e_age17,e_age17,e_age17,,,SVI
77,7700,SVI_M_AGE17,"SVI 2014: Persons aged 17 and younger estimate MOE, 2010-2014 ACS",9914,FIPS,,2014-01-01,2014-12-31,m_age17,m_age17,m_age17,,,SVI
